Document,LayerName,X,Y,Yaw,Pitch
toilet.psd,corridor,118,1527.5,169.63,-44.25
bedroom01.psd,corridor,2072.5,1226,-2.15,-17.75
bedroom02.psd,corridor,1714.5,1321,29.31,-26.1
corridor.psd,m.bedroom02,2492.5,1438,-39.07,-36.39
corridor.psd,bedroom01,58,1168,174.9,-12.66
corridor.psd,bedroom02,303,1282.5,153.37,-22.72
corridor.psd,toilet,1122.5,1273,81.34,-21.88
corridor.psd,m.bedroom01,1958,1278,7.91,-22.32
corridor.psd,roof_room,2873,1581,-72.51,-48.96
corridor.psd,entrance,3321.5,1456,-111.93,-37.97
corridor.psd,living,3614,1236,-137.64,-18.63
entrance.psd,corridor,3421,1639.5,-120.67,-54.1
entrance.psd,circle copy 8,2899.5,1358.5,-74.84,-29.4
entrance.psd,circle copy 7,1143,1320,79.54,-26.02
entrance.psd,circle copy 6,157.5,1173.5,166.16,-13.14
entrance.psd,circle copy 5,3990,1187,-170.68,-14.33
g.toilet.psd,entrance,3959,1463.5,-167.96,-38.63
kitchen.psd,entrance,454,1212,140.1,-16.52
living.psd,corridor,1861.5,1220,16.39,-17.23
living01.psd,entrance,2251.5,1176,-17.89,-13.36
living02.psd,entrance,1726.5,1186,28.26,-14.24
living02.psd,dining,1843.5,1296.5,17.97,-23.95
m.bedroom_toilet01.psd,m.bedroom01,3074,1351.5,-90.18,-28.78
m.bedroom_toilet02.psd,m.bedroom02,3074,1351.5,-90.18,-28.78
m.bedroom01.psd,circle copy 2,2169.5,1222,-10.68,-17.4
m.bedroom02.psd,circle copy 2,2169.5,1222,-10.68,-17.4
roof_room.psd,corridor,401.5,1460.5,144.71,-38.36
roof_room.psd,roof_toilet,1240,1418.5,71.02,-34.67
roof_toilet.psd,roof_room,3204,1431,-101.6,-35.77
