FromRoom,level,ToRoomLevel ,ToRoom,X,Y,Yaw,Pitch
toilet,first,first,corridor,2717,1526,-58.8,-44.12
bedroom01,first,first,corridor,403.5,1435.5,144.54,-36.17
corridor,first,first,m.bedroom02,740.5,1393.5,114.92,-32.48
corridor,first,roof,roof_room,1100.5,1406,83.28,-33.57
corridor,first,first,toilet,965,1316,95.19,-25.66
corridor,first,first,bedroom01,177,1524.5,164.44,-43.99
corridor,first,first,m.bedroom01,3043,1228,-87.45,-17.93
corridor,first,ground,entrance,2908.5,1391,-75.63,-32.26
dining,ground,ground,entrance,1160,1284,78.05,-22.85
dining,ground,ground,kitchen,1456,1275,52.03,-22.06
dining,ground,ground,living,3075,1293.5,-90.26,-23.69
entrance,ground,ground,living,2943,1204,-78.66,-15.82
entrance,ground,ground,dining,2953.5,1416,-79.58,-34.45
entrance,ground,ground,g.toilet,1316,1502,64.34,-42.01
entrance,ground,ground,kitchen,176,1523.5,164.53,-43.9
entrance,ground,first,corridor,1966.5,1646,7.16,-54.67
g.toilet,ground,ground,entrance,3959,1463.5,-167.96,-38.63
kitchen,ground,ground,dining,3717,1589.5,-146.69,-49.7
kitchen,ground,ground,g.toilet,258.5,1313.5,157.28,-25.44
kitchen,ground,ground,entrance,365,1427,147.92,-35.42
living,ground,ground,entrance,1037,1165.5,88.86,-12.44
living,ground,ground,dining,1053.5,1229.5,87.41,-18.06
m.bedroom01,first,first,m.bedroom01_toilet,964,1384.5,95.27,-31.68
m.bedroom01,first,first,corridor,1025.5,1228,89.87,-17.93
m.bedroom01_toilet,first,first,m.bedroom01,3928.5,1526.5,-165.28,-44.17
m.bedroom02,first,first,m.bedroom02_toilet,1213,1517,73.39,-43.33
m.bedroom02,first,first,corridor,2696,1253.5,-56.95,-20.17
m.bedroom02_toilet,first,first,M.bedroom02,2265.5,1462.5,-19.12,-38.54
roof_toilet,roof,roof,roof_room,3204,1431,-101.6,-35.77
roof_room,roof,first,corridor,3316,1431,-111.45,-35.77
roof_room,roof,roof,roof_toilet,3280,1318.5,-108.28,-25.88
