UnitName,Floor,RoomName,X,Y,VisualKey
107A01,floor1,living,0.311,0.46,l12
107A01,floor1,dinning,0.396,0.42,d12
107A01,floor1,kitchen,0.433,0.555,k12
107A01,floor1,bathroom,0.526,0.555,t04
107A01,floor1,bedroom,0.656,0.555,b03
107A01,floor1,bedroom,0.757,0.555,b05
107A02,floor1,living,0.37,0.653,l14
107A02,floor1,dinning,0.443,0.722,d14
107A02,floor1,kitchen,0.48,0.432,k14
107A02,floor1,bathroom,0.597,0.432,t11
107A02,floor1,bedroom,0.731,0.458,b02
107A03,floor1,living,0.406,0.487,l14
107A03,floor1,dinning,0.485,0.487,d14
107A03,floor1,kitchen,0.5,0.205,k14
107A03,floor1,bathroom,0.493,0.773,t04
107A03,floor1,bathroom,0.599,0.773,t04
107A03,floor1,bedroom,0.369,0.663,b17
107A03,floor1,bedroom,0.728,0.663,b01
107A04,floor1,living,0.277,0.487,l14
107A04,floor1,dinning,0.378,0.487,d14
107A04,floor1,kitchen,0.408,0.271,k14
107A04,floor1,bathroom,0.443,0.721,t08
107A04,floor1,bathroom,0.536,0.31,t08
107A04,floor1,bedroom,0.627,0.323,b05
107A04,floor1,bedroom,0.663,0.629,b05
107A11,floor2,living,0.313,0.419,l12
107A11,floor2,dinning,0.399,0.394,d12
107A11,floor2,kitchen,0.435,0.552,k12
107A11,floor2,bathroom,0.535,0.539,t04
107A11,floor2,bedroom,0.653,0.526,b03
107A11,floor2,bedroom,0.751,0.526,b05
107A12,floor2,living,0.361,0.731,l14
107A12,floor2,dinning,0.444,0.731,d14
107A12,floor2,kitchen,0.474,0.417,k14
107A12,floor2,bathroom,0.595,0.443,t11
107A12,floor2,bedroom,0.731,0.456,b02
107A13,floor2,living,0.399,0.498,l14
107A13,floor2,dinning,0.478,0.498,d14
107A13,floor2,kitchen,0.507,0.207,k14
107A13,floor2,bathroom,0.493,0.784,t04
107A13,floor2,bathroom,0.601,0.784,t04
107A13,floor2,bedroom,0.365,0.674,b17
107A13,floor2,bedroom,0.732,0.674,b01
107A14,floor2,living,0.277,0.487,l14
107A14,floor2,dinning,0.378,0.487,d14
107A14,floor2,kitchen,0.408,0.271,k14
107A14,floor2,bathroom,0.443,0.721,t08
107A14,floor2,bathroom,0.536,0.31,t08
107A14,floor2,bedroom,0.627,0.323,b05
107A14,floor2,bedroom,0.663,0.629,b05
107A21,floor3,living,0.334,0.42,l12
107A21,floor3,dinning,0.407,0.42,d12
107A21,floor3,kitchen,0.432,0.579,k12
107A21,floor3,bathroom,0.532,0.566,t04
107A21,floor3,bedroom,0.659,0.553,b03
107A21,floor3,bedroom,0.749,0.553,b05
107A22,floor3,living,0.361,0.454,l16
107A22,floor3,dinning,0.451,0.414,d16
107A22,floor3,kitchen,0.586,0.374,k16
107A22,floor3,bathroom,0.466,0.194,t06
107A22,floor3,bathroom,0.586,0.82,t04
107A22,floor3,bathroom,0.692,0.826,t01
107A22,floor3,bedroom,0.473,0.686,b25
107A22,floor3,bedroom,0.67,0.619,b24
107A23,floor3,living,0.38,0.634,l15
107A23,floor3,dinning,0.557,0.679,d15
107A23,floor3,kitchen,0.651,0.608,k15
107A23,floor3,bathroom,0.5,0.312,t04
107A23,floor3,bathroom,0.582,0.312,t04
107A23,floor3,bedroom,0.366,0.366,b17
107A23,floor3,bedroom,0.651,0.312,b07
107A31,floor4,living,0.284,0.248,l17
107A31,floor4,dinning,0.277,0.474,d17
107A31,floor4,kitchen,0.299,0.648,k17
107A31,floor4,bathroom,0.43,0.5,t11
107A31,floor4,bathroom,0.507,0.695,t06
107A31,floor4,bathroom,0.52,0.814,t01
107A31,floor4,bedroom,0.493,0.369,b26
107A31,floor4,bedroom,0.622,0.369,b17
107A31,floor4,bedroom,0.648,0.715,b18
107AC01,Basement,living,0.753,0.579,l12
107AC01,Basement,dinning,0.668,0.619,d12
107AC01,Basement,kitchen,0.631,0.445,k12
107AC01,Basement,bathroom,0.518,0.458,t04
107AC01,Basement,bedroom,0.371,0.458,b03
107AC01,Basement,bedroom,0.258,0.458,b05
107AC02,Basement,living,0.37,0.653,l14
107AC02,Basement,dinning,0.443,0.722,d14
107AC02,Basement,kitchen,0.48,0.432,k14
107AC02,Basement,bathroom,0.597,0.432,t11
107AC02,Basement,bedroom,0.731,0.458,b02
107AC03,Basement,living,0.384,0.428,l14
107AC03,Basement,dinning,0.464,0.428,d14
107AC03,Basement,kitchen,0.485,0.21,k14
107AC03,Basement,bathroom,0.471,0.747,t04
107AC03,Basement,bathroom,0.572,0.747,t04
107AC03,Basement,bedroom,0.353,0.65,b17
107AC03,Basement,bedroom,0.687,0.65,b01
107AC04,Basement,living,0.277,0.487,l14
107AC04,Basement,dinning,0.378,0.487,d14
107AC04,Basement,kitchen,0.408,0.271,k14
107AC04,Basement,bathroom,0.443,0.721,t08
107AC04,Basement,bathroom,0.536,0.284,t08
107AC04,Basement,bedroom,0.627,0.323,b05
107AC04,Basement,bedroom,0.663,0.629,b05
