UnitName,Floor,area
107BC01,basement,95.3
107BC02,basement,81.4
107BC03,basement,77.4
107BC04,basement,97
107BC05,basement,105.1
107BC06,basement,68.1
107BC07,basement,88.4
107BC08,basement,90.7
107BC09,basement,113.2
107BC10,basement,100.5
107BC11,basement,78
107BC12,basement,115.5
107BC13,basement,88.9
107B01,ground,249.9
107B02,ground,207.2
107B03,ground,249
107B04,ground,109.8
107B05,ground,162.4
107B06,ground,211.4
107B11,floor1,249.9
107B12,floor1,207.2
107B13,floor1,249
107B14,floor1,109.8
107B15,floor1,162.4
107B16,floor1,212.1
107B21,floor2,213
107B22,floor2,180.6
107B23,floor2,211.9
107B24,floor2,208.5
107B25,floor2,180.8
107B31,floor3,173.7
107B32,floor3,173.7
107B33,floor3,173.8
