Tower,Floor,UnitName,RoomName,X,Y,VisualKey
7B 1,basement,107BC01,living,0.233,0.603,l01
7B 1,basement,107BC01,dinning,0.337,0.545,d01
7B 1,basement,107BC01,kitchen,0.434,0.655,k01
7B 1,basement,107BC01,bathroom,0.42,0.298,t02
7B 1,basement,107BC01,bedroom,0.617,0.629,b03
7B 1,basement,107BC01,bedroom,0.723,0.587,b01
7B 1,basement,107BC02,living,0.23,0.569,l02
7B 1,basement,107BC02,dinning,0.334,0.543,d02
7B 1,basement,107BC02,kitchen,0.465,0.53,k02
7B 1,basement,107BC02,bathroom,0.588,0.356,t02
7B 1,basement,107BC02,bedroom,0.762,0.369,b02
7B 1,basement,107BC03,living,0.288,0.315,l03
7B 1,basement,107BC03,dinning,0.517,0.315,d03
7B 1,basement,107BC03,kitchen,0.56,0.532,k03
7B 1,basement,107BC03,bathroom,0.477,0.749,t01
7B 1,basement,107BC03,bedroom,0.736,0.372,b02
7B 1,basement,107BC04,living,0.253,0.581,l04
7B 1,basement,107BC04,dinning,0.435,0.607,d04
7B 1,basement,107BC04,kitchen,0.481,0.369,k04
7B 1,basement,107BC04,bathroom,0.604,0.356,t03
7B 1,basement,107BC04,bedroom,0.753,0.466,b02
7B 1,basement,107BC05,living,0.372,0.401,l05
7B 1,basement,107BC05,dinning,0.507,0.388,d05
7B 1,basement,107BC05,kitchen,0.516,0.543,k05
7B 1,basement,107BC05,bathroom,0.618,0.556,t02
7B 1,basement,107BC05,bedroom,0.738,0.5,b04
7B 1,basement,107BC06,living,0.285,0.704,l01
7B 1,basement,107BC06,dinning,0.523,0.704,d01
7B 1,basement,107BC06,kitchen,0.523,0.487,k01
7B 1,basement,107BC06,bathroom,0.471,0.28,t02
7B 1,basement,107BC06,bedroom,0.745,0.613,b01
7B 1,basement,107BC07,living,0.27,0.428,l07
7B 1,basement,107BC07,dinning,0.37,0.454,d07
7B 1,basement,107BC07,kitchen,0.457,0.37,k07
7B 1,basement,107BC07,bathroom,0.566,0.6,t04
7B 1,basement,107BC07,bedroom,0.745,0.639,b02
7B 1,basement,107BC08,living,0.255,0.626,l04
7B 1,basement,107BC08,dinning,0.37,0.53,d04
7B 1,basement,107BC08,kitchen,0.482,0.556,k04
7B 1,basement,107BC08,bathroom,0.598,0.39,t01
7B 1,basement,107BC08,bedroom,0.763,0.543,b02
7B 1,ground,107B01,living,0.536,0.439,l06
7B 1,ground,107B01,dinning,0.536,0.727,d06
7B 1,ground,107B01,kitchen,0.46,0.766,k06
7B 1,ground,107B01,bathroom,0.677,0.753,t01
7B 1,ground,107B01,bathroom,0.446,0.875,t05
7B 1,ground,107B01,bathroom,0.329,0.64,t04
7B 1,ground,107B01,bedroom,0.358,0.491,b06
7B 1,ground,107B01,bedroom,0.63,0.452,b08
7B 1,ground,107B01,bedroom,0.336,0.779,b07
7B 1,ground,107B02,living,0.367,0.548,l05
7B 1,ground,107B02,dinning,0.534,0.548,d05
7B 1,ground,107B02,kitchen,0.534,0.743,k05
7B 1,ground,107B02,bathroom,0.698,0.288,t04
7B 1,ground,107B02,bathroom,0.671,0.535,t05
7B 1,ground,107B02,bathroom,0.622,0.288,t01
7B 1,ground,107B02,bedroom,0.423,0.362,b09
7B 1,ground,107B02,bedroom,0.765,0.288,b10
7B 1,ground,107B03,living,0.465,0.405,l06
7B 1,ground,107B03,dinning,0.457,0.666,d06
7B 1,ground,107B03,kitchen,0.527,0.705,k06
7B 1,ground,107B03,bathroom,0.64,0.621,t04
7B 1,ground,107B03,bathroom,0.541,0.828,t05
7B 1,ground,107B03,bathroom,0.33,0.692,t01
7B 1,ground,107B03,bedroom,0.37,0.431,b08
7B 1,ground,107B03,bedroom,0.613,0.456,b11
7B 1,ground,107B03,bedroom,0.613,0.744,b12
7B 1,floor1,107B11,living,0.536,0.426,l06
7B 1,floor1,107B11,dinning,0.544,0.727,d06
7B 1,floor1,107B11,kitchen,0.46,0.727,k06
7B 1,floor1,107B11,bathroom,0.671,0.727,t01
7B 1,floor1,107B11,bathroom,0.453,0.856,t05
7B 1,floor1,107B11,bathroom,0.329,0.622,t04
7B 1,floor1,107B11,bedroom,0.37,0.465,b06
7B 1,floor1,107B11,bedroom,0.63,0.439,b08
7B 1,floor1,107B11,bedroom,0.336,0.753,b07
7B 1,floor1,107B12,living,0.36,0.548,l05
7B 1,floor1,107B12,dinning,0.527,0.548,d05
7B 1,floor1,107B12,kitchen,0.527,0.731,k05
7B 1,floor1,107B12,bathroom,0.691,0.288,t04
7B 1,floor1,107B12,bathroom,0.664,0.535,t05
7B 1,floor1,107B12,bathroom,0.615,0.288,t01
7B 1,floor1,107B12,bedroom,0.421,0.361,b09
7B 1,floor1,107B12,bedroom,0.758,0.288,b10
7B 1,floor1,107B13,living,0.468,0.406,l06
7B 1,floor1,107B13,dinning,0.454,0.649,d06
7B 1,floor1,107B13,kitchen,0.539,0.719,k06
7B 1,floor1,107B13,bathroom,0.653,0.623,t04
7B 1,floor1,107B13,bathroom,0.553,0.839,t05
7B 1,floor1,107B13,bathroom,0.332,0.706,t01
7B 1,floor1,107B13,bedroom,0.373,0.419,b08
7B 1,floor1,107B13,bedroom,0.625,0.458,b11
7B 1,floor1,107B13,bedroom,0.638,0.754,b12
7B 1,floor2,107B21,living,0.534,0.419,l06
7B 1,floor2,107B21,dinning,0.548,0.681,d06
7B 1,floor2,107B21,kitchen,0.466,0.719,k06
7B 1,floor2,107B21,bathroom,0.677,0.706,t01
7B 1,floor2,107B21,bathroom,0.446,0.849,t05
7B 1,floor2,107B21,bathroom,0.32,0.597,t04
7B 1,floor2,107B21,bedroom,0.361,0.432,b01
7B 1,floor2,107B21,bedroom,0.638,0.432,b08
7B 1,floor2,107B21,bedroom,0.328,0.732,b07
7B 1,floor2,107B22,living,0.371,0.57,l06
7B 1,floor2,107B22,dinning,0.515,0.557,d06
7B 1,floor2,107B22,kitchen,0.547,0.739,k06
7B 1,floor2,107B22,bathroom,0.575,0.283,t01
7B 1,floor2,107B22,bathroom,0.628,0.531,t05
7B 1,floor2,107B22,bathroom,0.664,0.283,t04
7B 1,floor2,107B22,bedroom,0.378,0.366,b09
7B 1,floor2,107B22,bedroom,0.727,0.283,b10
7B 1,floor2,107B23,living,0.468,0.406,l06
7B 1,floor2,107B23,dinning,0.454,0.649,d06
7B 1,floor2,107B23,kitchen,0.539,0.719,k06
7B 1,floor2,107B23,bathroom,0.653,0.623,t04
7B 1,floor2,107B23,bathroom,0.553,0.839,t05
7B 1,floor2,107B23,bathroom,0.332,0.706,t01
7B 1,floor2,107B23,bedroom,0.373,0.419,b08
7B 1,floor2,107B23,bedroom,0.625,0.458,b01
7B 1,floor2,107B23,bedroom,0.638,0.754,b12
7B 1,floor3,107B31,living,0.564,0.326,l13
7B 1,floor3,107B31,dinning,0.64,0.565,d13
7B 1,floor3,107B31,bathroom,0.308,0.469,t04
7B 1,floor3,107B31,bathroom,0.522,0.735,t06
7B 1,floor3,107B31,bathroom,0.447,0.735,t04
7B 1,floor3,107B31,bedroom,0.355,0.259,b17
7B 1,floor3,107B31,bedroom,0.316,0.644,b01
7B 1,floor3,107B32,living,0.439,0.298,l05
7B 1,floor3,107B32,dinning,0.37,0.569,d05
7B 1,floor3,107B32,bathroom,0.702,0.487,t04
7B 1,floor3,107B32,bathroom,0.482,0.74,t06
7B 1,floor3,107B32,bathroom,0.564,0.74,t04
7B 1,floor3,107B32,bedroom,0.652,0.714,b09
7B 1,floor3,107B32,bedroom,0.652,0.259,b17
7B 2,basement,107BC09,living,0.773,0.444,l12
7B 2,basement,107BC09,dinning,0.597,0.444,d12
7B 2,basement,107BC09,kitchen,0.544,0.581,k12
7B 2,basement,107BC09,bathroom,0.47,0.581,t04
7B 2,basement,107BC09,bedroom,0.327,0.581,b03
7B 2,basement,107BC09,bedroom,0.247,0.543,b05
7B 2,basement,107BC10,living,0.736,0.569,l01
7B 2,basement,107BC10,dinning,0.651,0.665,d01
7B 2,basement,107BC10,kitchen,0.521,0.569,k01
