UnitName,RoomName,X,Y,VisualKey
107C01,living,1062,280,l08
107C01,dinning,817,280,d08
107C01,kitchen,691,498,k08
107C01,bathroom,484,377,t05
107C01,bathroom,539,604,t08
107C01,bathroom,803,804,t03
107C01,bedroom,1019,719,b20
107C01,bedroom,613,804,b21
107C02,living,1183,474,l05
107C02,dinning,1034,474,d08
107C02,kitchen,923,643,k05
107C02,bathroom,738,600,t01
107C02,bedroom,498,540,b05
107C03,living,1138,798,l06
107C03,dinning,884,867,d06
107C03,kitchen,717,609,k06
107C03,bathroom,554,710,t05
107C03,bathroom,568,511,t09
107C03,bathroom,830,272,t02
107C03,bedroom,582,333,b21
107C03,bedroom,1194,391,b20
107C04,living,1068,798,l06
107C04,dinning,750,812,d06
107C04,kitchen,701,608,k06
107C04,bathroom,541,491,t08
107C04,bathroom,485,724,t05
107C04,bathroom,814,328,t02
107C04,bedroom,555,342,b21
107C04,bedroom,1017,392,b20
107C11,living,1062,280,l08
107C11,dinning,817,280,d08
107C11,kitchen,691,498,k08
107C11,bathroom,484,377,t05
107C11,bathroom,539,604,t08
107C11,bathroom,803,848,t03
107C11,bedroom,1019,708,b20
107C11,bedroom,613,804,b21
107C12,living,1183,474,l05
107C12,dinning,1034,474,d08
107C12,kitchen,923,643,k05
107C12,bathroom,738,600,t01
107C12,bedroom,487,526,b05
107C13,living,1138,798,l06
107C13,dinning,884,867,d06
107C13,kitchen,717,609,k06
107C13,bathroom,554,710,t05
107C13,bathroom,568,511,t09
107C13,bathroom,830,272,t02
107C13,bedroom,582,333,b21
107C13,bedroom,1194,391,b20
107C14,living,1068,798,l06
107C14,dinning,750,812,d06
107C14,kitchen,701,608,k06
107C14,bathroom,541,491,t08
107C14,bathroom,485,724,t05
107C14,bathroom,814,328,t02
107C14,bedroom,555,342,b21
107C14,bedroom,1017,392,b20
107C21,living,1068,312,l06
107C21,dinning,731,284,d06
107C21,kitchen,687,486,k06
107C21,bathroom,480,357,t05
107C21,bathroom,541,608,t08
107C21,bathroom,793,830,t03
107C21,bedroom,641,802,b21
107C21,bedroom,1018,696,b20
107C22,living,1308,444,l07
107C22,dinning,974,526,d07
107C22,kitchen,780,458,k07
107C22,bathroom,639,512,t05
107C22,bathroom,932,774,t04
107C22,bedroom,731,802,b21
107C22,bedroom,1257,692,b22
107C23,living,1191,314,l08
107C23,dinning,903,554,d08
107C23,kitchen,875,270,k08
107C23,bathroom,452,656,t04
107C23,bedroom,480,472,b01
107C24,living,1063,594,l06
107C24,dinning,850,814,d06
107C24,kitchen,765,594,k06
107C24,bathroom,902,319,t10
107C24,bathroom,627,509,t08
107C24,bathroom,587,736,t05
107C24,bedroom,641,347,b21
107C24,bedroom,1107,385,b20
107C31,living,1382,722,l06
107C31,dinning,1253,540,d06
107C31,kitchen,1354,372,k06
107C31,bathroom,1081,580,t03
107C31,bathroom,583,458,t04
107C31,bathroom,946,225,t06
107C31,bathroom,809,239,t06
107C31,bedroom,597,326,b24
107C31,bedroom,671,668,b06
107C31,bedroom,960,668,b23
